,0
1648,YME1L1
1649,RAB18
1650,WAC
1651,MAP3K8
1652,KIF5B
1653,ITGB1
1654,CCNY
1655,CSGALNACT2
1656,HNRNPF
1657,RASSF4
1658,ZNF22
1659,ALOX5
1660,NCOA4
1661,CISD1
1662,UBE2D1
1663,NRBF2
1664,JMJD1C
1665,REEP3
1666,HERC4
1667,HNRNPH3
1668,CCAR1
1669,DDX21
1670,SRGN
1671,VPS26A
1672,HK1
1673,SAR1A
1674,PPA1
1675,EIF4EBP2
1676,PRF1
1677,PCBD1
1678,C10orf54
1679,PSAP
1680,ANAPC16
1681,DDIT4
1682,DNAJB12
1683,MICU1
1684,MRPS16
